Source,Target,weight
7380,7360,40.0
7380,7362,138.5
7380,7363,244.0
7380,7367,124.0
7380,7368,120.0
7382,7351,240.0
7382,7358,166.66667
7382,7370,160.0
7382,7381,40.0
7384,7180,400.0
7384,7351,189.66667
7384,7358,748.3334
7384,7360,245.33334
7384,7362,240.0
7384,7363,542.3333
7384,7368,392.0
7384,7382,120.0
7384,7383,240.0
7384,7385,137.0
7385,7392,261.0
7386,7384,120.0
7387,7384,240.0
7387,7388,120.0
7388,7384,240.0
7389,7384,240.0
7390,7384,240.0
7391,7384,120.0
7392,7384,261.0
7393,7384,124.0
7395,7384,240.0
7396,7384,297.0
7397,7384,120.0
7397,7390,120.0
7398,7384,318.0
7399,7384,240.0
7400,7370,160.0
7400,7371,160.0
7400,7384,120.0
7401,7384,120.0
7401,7395,120.0
7402,7384,162.0
7403,7723,200.0
7403,10291,200.0
7406,7351,240.0
7406,7358,150.4
7406,7360,120.0
7406,7361,120.0
7406,7362,240.0
7406,7363,120.0
7406,7367,120.0
7406,7368,124.0
7406,7369,120.0
7406,7403,124.0
7406,7404,120.0
7406,7405,160.0
7408,7180,337.0
7408,7264,270.0
7408,7280,270.0
7408,7292,235.0
7408,7351,241.33334
7408,7352,160.0
7408,7355,137.0
7408,7358,150.4
7408,7360,257.0
7408,7361,124.0
7408,7362,242.0
7408,7363,1586.0
7408,7369,120.0
7408,7370,160.0
7408,7382,160.0
7408,7384,360.0
7408,7403,124.0
7408,7404,120.0
7408,7961,568.0
7408,7972,270.0
7408,8519,270.0
7408,9509,250.0
7409,7362,120.0
7409,7408,120.0
7410,7362,120.0
7410,7404,120.0
7410,7816,160.0
7410,7832,160.0
7411,7180,137.0
7411,7351,120.0
7411,7355,124.0
7411,7358,120.0
7411,7360,120.0
7411,7363,120.0
7411,7403,124.0
7411,7746,200.0
7412,7355,124.0
7412,7403,137.0
7412,7405,160.0
7413,7180,124.0
7413,7355,137.0
7413,7360,137.0
7413,7376,124.0
7413,7403,137.0
7415,7404,120.0
7415,7408,120.0
7416,7415,40.0
7417,7362,120.0
7417,7406,120.0
